因变量,任务组（自变量）,样本量,均值,标准差,标准误,95% 置信区间下限,95% 置信区间上限,最小值,最大值
SUS 评分,WIMP,21,53.21,17.01,3.71,45.47,60.96,20.00,87.50
SUS 评分,M-CAT,21,73.57,11.03,2.41,68.55,78.59,50.00,90.00
有效性,WIMP,21,36.75,7.99,1.74,33.11,40.39,20.60,51.60
有效性,M-CAT,21,49.96,3.76,0.82,48.25,51.68,43.80,54.60
易用性,WIMP,21,42.59,10.93,2.38,37.62,47.57,22.00,61.40
易用性,M-CAT,21,61.83,4.73,1.03,59.67,63.98,51.00,67.20
易学性评分,WIMP,21,17.81,4.83,1.05,15.61,20.01,8.60,26.60
易学性评分,M-CAT,21,25.49,1.53,0.33,24.79,26.18,21.00,26.60
满意度,WIMP,21,31.19,8.64,1.89,27.26,35.12,18.00,44.00
满意度,M-CAT,21,46.86,2.53,0.55,45.70,48.01,40.00,49.00
鼠标移动距离,WIMP,21,175176.19,51722.28,11286.73,151632.49,198719.89,98043.00,269443.00
鼠标移动距离,M-CAT,21,20160.38,11853.94,2586.74,14764.53,25556.23,3804.00,53879.00
鼠标点击次数,WIMP,21,337.90,70.72,15.43,305.71,370.10,228.00,508.00
鼠标点击次数,M-CAT,21,15.38,12.66,2.76,9.62,21.14,2.00,59.00
键盘按键次数,WIMP,21,346.57,111.41,24.31,295.86,397.29,47.00,580.00
键盘按键次数,M-CAT,21,1032.29,439.20,95.84,832.36,1232.21,28.00,2372.00
任务时长,WIMP,21,819.80,187.55,40.93,734.43,905.17,474.63,1143.38
任务时长,M-CAT,21,445.88,134.17,29.28,384.81,506.95,253.81,794.63
操作成本,WIMP,21,287.11,63.86,13.94,258.04,316.18,202.31,406.43
操作成本,M-CAT,21,229.17,97.31,21.24,184.88,273.47,26.67,536.90
