subject_id,task_class,task_index,mouse_distance,mouse_click,keyboard_press,duration,prompt,prompt_count
9,0,0,1624,3,124,57.255,创建“旅行照片”文件夹，把3月8日创建的文件复制到里面,14
9,0,1,831,0,155,59.272,将“分享.jpg”的文件使用邮件发送给，fakename@fakename.com，邮件名为“共享照片”,15
9,0,2,1116,0,60,28.643,换一张“山峰壁纸”,4
9,0,3,1929,2,103,40.265,分屏显示safari和提醒事项；开启专注模式,9
9,0,4,1750,1,59,21.993,截图全屏，投送出去,4
9,0,5,0,0,81,25.931,复制最近一个日程的位置到备忘录,8
9,1,0,1196,0,98,32.217,制作一张带有标题 账户 密码 登录 组件的 登录页面,16
9,1,1,1167,1,19,20.723,填充海洋,2
9,1,2,2059,1,95,35.476,制作4*4圆形矩阵，直径为16px 间距为8px,13
9,1,3,1805,1,45,13.11,替换全部字体为roboto,5
9,1,4,1607,1,89,19.574,为姓名 替换真实名字,6
9,1,5,2535,3,40,22.218,将图片的图层按尺寸命名,7
8,0,0,0,0,126,40.048,帮我把文件夹中所有3月8日创建的照片复制到一个名为“旅行照片”的新文件夹,21
8,0,1,1238,1,116,53.475,把“分享”照片发到fakename@fakemail.com的邮箱，标题为为共享照片,14
8,0,2,875,0,85,22.191,帮我设置一张山峰的桌面壁纸,7
8,0,3,0,0,70,27.545,给我分屏打开safari和提醒再开启工作模式,11
8,0,4,0,0,59,18.87,截全屏分享到我的手机,7
8,0,5,1180,0,58,19.956,将下一个日程的地理信息复制到备忘录,8
8,1,0,0,0,58,17.59,给我制作一个和参考差不多的页面,9
8,1,1,1454,1,41,17.409,在矩形里填充海洋图片,6
8,1,2,3594,2,87,60.682,制作16个直径为16px的圆形，成间隔为8,12
8,1,3,0,0,70,20.682,把界面里所有文字换成Roboto字体,8
8,1,4,0,0,33,9.531,把名字换成真名字,5
8,1,5,1053,1,37,11.31,把图片名字换成其尺寸,6
6,0,0,2092,4,151,76.389,将这个文件夹中3月8日创建的文件复制到一个新的命名为“旅行照片”的文件夹中,22
6,0,1,1785,0,276,121.532,将这个文件夹中名字为“分享”的照片使用电子邮件app，命名为“共享照片”发送给fakename@fakemail.com,20
6,0,2,0,0,40,15.555,将桌面换成山峰壁纸,5
6,0,3,4384,3,132,64.246,打开safari浏览器和提醒事项，并分屏显示，然后开启“工作”专注模式,14
6,0,4,1469,0,76,39.19,截全屏并共享到最近的手机,8
6,0,5,0,0,73,35.195,将日历中的下一个日程的地理位置复制到备忘录,11
6,1,0,1176,0,183,70.302,在page1中，根据参考制作一份简洁的登录界面，要求有标题、账户输入框、密码输入框、密码输入框和登录按钮,23
6,1,1,1091,0,55,31.297,在page2的矩形中填充海洋的图片,9
6,1,2,0,0,101,56.932,在page3中制作一个4*4的圆形矩阵，直径16px，间距8px，颜色为红色,18
6,1,3,0,0,53,21.142,将page4里的所有文字换成Roboto字体,9
6,1,4,0,0,97,40.484,把page5里面所有的姓名全部替换成真实的中文姓名,12
6,1,5,2140,1,75,37.099,把page6中所有的相册图片的图层名改成图层的尺寸,14
11,0,0,1650,3,81,27.806,将文件夹3月8日的图片复制到新文件夹“旅行照片”,13
11,0,1,1262,1,166,55.294,将文件夹“分享.jpg”发送给fakename@fakemail.com，标题为共享照片,12
11,0,2,0,0,56,12.898,将桌面壁纸更换为山峰,5
11,0,3,0,0,83,23.559,分屏显示safari和提醒事项,6
11,0,4,0,0,44,22.136,截全屏并发送,4
11,0,5,0,0,65,16.899,复制下一个日程的位置到备忘录,8
11,1,0,2925,2,48,20.277,根据参考制作新的登录界面,7
11,1,1,0,0,0,4.609,,1
11,1,2,1317,0,83,29.089,制作4*4的圆形矩阵 直径16间距8,12
11,1,3,0,0,32,9.931,所有文字换成roboto,4
11,1,4,1321,1,42,14.907,将姓名换成中文姓名,5
11,1,5,3100,3,53,22.404,将图片名称改成图层尺寸,6
5,0,0,3127,6,249,101.879,新建一个文件夹，命名为“旅行照片”，并且将photo文件里创建日期为3月8日的JPEG图像复制到“旅行照片文件夹中”,27
5,0,1,4667,3,152,81.011,发送邮件给fakename@fakemail.com，附件图像“分享.jpg”，标题为共享照片,14
5,0,2,0,0,52,21.006,将含有山峰的照片设为壁纸,8
5,0,3,0,0,75,37.26,将Safari和提醒事项同时分屏显示，并且开启专注模式,12
5,0,4,0,0,57,30.925,截屏并且将图片隔空投递,6
5,0,5,2193,0,51,23.225,将日历中下一个日程内容，复制到备忘录中,10
5,1,0,2167,1,65,29.961,制作包含标题、账户输入框、密码输入框、登录按钮的登录界面,12
5,1,1,1518,1,58,29.784,在“海洋照片”里填充包含海洋元素的图片,10
5,1,2,0,0,59,25.942,制作4*4的圆形矩阵，圆形直径16px，间距8px,12
5,1,3,2644,1,108,35.174,将“主页”中所有文字替换为“roboto”字体,9
5,1,4,1577,0,93,30.383,将“姓名”依次替换成“张三”、“张四”等,7
5,1,5,2268,1,78,46.544,,1
7,0,0,1744,0,137,39.836,将3月8日创建的图片复制到一个新的文件夹，命名为旅行照片,17
7,0,1,3223,1,260,100.043,将“分享.jpg”的照片通过电子邮箱，标题为共享照片，发送给fakename@fakemail.com,15
7,0,2,5331,1,89,37.628,将山峰的壁纸保存并变成桌面壁纸,8
7,0,3,4639,4,92,51.565,分屏显示safari浏览器和提醒事项，开启工作专注模式,11
7,0,4,1746,0,67,27.365,截全屏并airdrop共享到最近的手机,9
7,0,5,9446,3,98,48.143,查看下一个日程的位置并粘贴到备忘录,10
7,1,0,5942,11,174,95.313,在该页面根据参考制作一份简洁的登录页面，含标题、账户输入框、密码输入框、登录按钮,19
7,1,1,1619,0,73,23.715,在page2的矩形中填充海洋的图片,9
7,1,2,1574,1,92,34.629,制作4*4的圆形矩阵，直径16px，间距8px,11
7,1,3,1274,0,71,20.08,将所有文字换成roboto字体,6
7,1,4,1451,1,89,47.9,将姓名换成样例的中文姓名,7
7,1,5,5416,3,91,47.514,将所有相册图片的图层名改为图层的尺寸,11
10,0,0,1163,3,152,46.989,将photo文件夹中3月8日创建的照片复制到一个新的文件夹中，命名为旅行照片,21
10,0,1,1463,0,123,46.184,将photo文件夹中名为“分享”的照片发到fakename@fakemail.com，标题为共享照片,16
10,0,2,1316,0,65,20.397,找一张山的照片设成壁纸,8
10,0,3,3446,0,103,38.317,分屏打开safari和提醒事项，开启工作专注模式,10
10,0,4,919,0,47,19.681,截全屏并airdrop到附近手机,7
10,0,5,1467,0,73,21.272,查看日历中下一个日程的地理位置并复制到备忘录,11
10,1,0,1664,0,115,33.608,在page1中，根据参考制作一个界面，包含标题、账户输入框、密码输入框和登录按钮,17
10,1,1,3856,0,41,24.038,在page2的矩形中填充海洋的图片,9
10,1,2,2136,0,94,35.543,在page3中制作一个4x4的圆形矩形，直径16px，间距8px，颜色随机,15
10,1,3,0,0,50,20.682,将page4里所有的文字换成roboto字体,9
10,1,4,4388,2,84,30.739,在page5中替换所有姓名图层为中文姓名,10
10,1,5,3495,3,86,33.066,将page6中所有相册图片名换成对应的图层尺寸大小,13
4,0,0,1480,3,138,56.417,将3月8日创建的图片复制到新的文件夹，并且文件夹命名为“旅行照片”,18
4,0,1,961,0,208,112.168,将文件夹中的名字为“分享.jpg”的照片使用电子邮件APP发送给fakename@fakemail.com，标题为共享照片,21
4,0,2,1826,4,55,24.168,找到山峰图片，更换为桌面壁纸,6
4,0,3,1384,0,98,44.009,将Safari浏览器和提醒事项分屏显示，并开启专注模式,12
4,0,4,0,0,51,30.11,截全屏并共享到最近的手机,8
4,0,5,1476,0,78,32.225,查看日历中下一个日程的地理位置，将其粘贴到备忘录,13
4,1,0,4543,3,26,21.716,制作一份登录界面,4
4,1,1,1572,1,41,25.682,在矩形中填充海洋图片,6
4,1,2,1663,0,139,75.286,创作一个4✖️4圆形矩阵，具体要求：1.单个圆形直径16px 2.间距8px 3.颜色随机,24
4,1,3,1618,1,46,24.456,将所有文字字体换为Roboto字体,7
4,1,4,0,0,70,38.758,将“姓名”图层替换为随机中文名,7
4,1,5,5873,3,52,35.832,将所有的图片的图层名字改为图层尺寸,10
2,0,0,2324,1,140,52.641,将photo文件夹下3月8日创建的图片复制到一个新的叫旅行照片的文件夹,20
2,0,1,1714,1,211,55.8,将当前文件夹中命名为“分享.jpg”的图片用电子邮箱APP发送给fakename@fakemail.com,17
2,0,2,0,0,81,23.837,找一张山峰的壁纸，保存后将其作为桌面壁纸,11
2,0,3,1683,2,108,33.286,打开Safari浏览器和提醒事项并分屏显示，并开启工作专注模式,14
2,0,4,1567,1,76,23.04,截全屏并airdrop给最近的手机,8
2,0,5,0,0,28,13.587,查看日历中下一行程的地址位置，并将其复制到备忘录,13
2,1,0,1928,1,125,36.355,制作一份简洁的登录界面，其中包含标题、账户输入框以及密码输入框，和登录按钮,17
2,1,1,1550,0,45,21.805,在矩形框中填充海洋图片,6
2,1,2,1322,0,77,23.077,制作4x4的圆形矩阵，直径16px，间隔8px,9
2,1,3,3180,2,71,15.263,将页面里所有文字换成Roboto字体,8
2,1,4,1450,0,54,22.543,将姓名图层替换为中文姓名,7
2,1,5,0,0,76,20.35,将页面中图片对应的图层名改为图片的尺寸,12
3,0,0,1446,2,92,57.329,创建“旅行照片”文件夹，将日期为3月8日的图片复制进去,15
3,0,1,1813,3,128,67.492,以标题“共享照片”将“分享.jpg”用邮件发送给fakename@fakemail.com,13
3,0,2,0,0,65,20.777,找一张山峰图片作为系统壁纸,7
3,0,3,0,0,75,35.411,把safari和提醒事项分屏打开，系统开启“工作”模式,11
3,0,4,0,0,50,32.877,截取全屏隔空投送给最近的手机,8
3,0,5,1673,2,60,24.768,把下一个日程中的地址复制粘贴到备忘录,10
3,1,0,2114,0,87,36.855,制作一个有标题、账户输入框、密码输入框和登录按钮的登录界面,14
3,1,1,1816,1,35,14.343,把矩形填充海洋照片,5
3,1,2,1375,3,67,45.981,制作一个直径为16px的圆形4*4矩阵，间距8px，,13
3,1,3,1672,1,40,17.428,把所有文字改成“Roboto”字体,6
3,1,4,1946,1,49,20.986,把“姓名”替换成中文名字,5
3,1,5,3067,7,37,22.76,所有图层根据其尺寸命名,6
12,0,0,1914,3,140,53.187,把日期是3月8日的照片放到旅行照片文件夹里,14
12,0,1,1353,0,128,56.819,把“分享.jpg”邮件发送给fakename@fakemail.com，邮件名是共享照片,12
12,0,2,1560,0,51,11.749,设置一个山峰的桌面壁纸,5
12,0,3,1568,0,88,37.946,分屏显示浏览器和提醒事项，开启专注模式,9
12,0,4,0,0,36,11.222,截屏共享到我的手机,6
12,0,5,1564,0,54,22.087,把日程里的位置添加到备忘录,8
12,1,0,1806,0,92,27.285,设计一个登录界面，里面有标题、账户密码输入框以及登录按钮,13
12,1,1,0,0,37,16.076,在矩形里填充海洋图片,6
12,1,2,0,0,85,27.913,新建一个直径为16px，间距为8px的4✖️4圆形矩阵,15
12,1,3,1365,1,35,14.463,把所有文字改为Roboto,5
12,1,4,3271,2,24,11.748,修改所有姓名,3
