"编号","开始答题时间","结束答题时间","答题时长","地理位置国家和地区","地理位置省","地理位置市","自定义字段","IP","UA","Referrer","1.请输入实验编号","2.请选择实验轮次","3.系统感知可用性:我认为我会愿意经常使用本系统","3.系统感知可用性:我发现这个系统没必要这么复杂","3.系统感知可用性:我认为该系统容易使用","3.系统感知可用性:我认为我会需要技术人员的支持才能使用该系统","3.系统感知可用性:我发现这个系统中的不同功能被较好地整合一起","3.系统感知可用性:我认为这个系统太不一致了","3.系统感知可用性:我认为大部分人会很快学会使用这个系统","3.系统感知可用性:我发现这个系统使用起来非常笨拙","3.系统感知可用性:对于使用这个系统，我感到很自信","3.系统感知可用性:在我可以使用该系统之前，我需要学习很多东西","4.有效性:它使我的工作更有效","4.有效性:它使我的工作更有产出","4.有效性:它是有用的","4.有效性:它给我更多的控制以管理生活中的各项活动","4.有效性:它使我能够更加容易地完成要做的事情","4.有效性:使用时，它节省了我的时间","4.有效性:它满足我的需求","4.有效性:它可以执行我期望它做的所有事情","5.易用性:它容易使用","5.易用性:它操作简单","5.易用性:它是用户友好的","5.易用性:对于我需要完成的事情，它需要最可能少的步骤","5.易用性:它是灵活的","5.易用性:使用起来不费力气","5.易用性:没有书面说明，我可以使用它","5.易用性:在使用过程中，我没有发现任何不一致","5.易用性:偶尔使用和常规使用的用户都会喜欢它","5.易用性:出错时，我可以迅速且容易地恢复过来","5.易用性:每次我都可以成功地使用它","6.易学性:我可以迅速地学会使用它","6.易学性:我容易记住如何使用它","6.易学性:学起来容易","6.易学性:很快我就可以熟练使用它了","7.满意度:我对它满意","7.满意度:我会把它推荐给朋友","7.满意度:使用起来有趣","7.满意度:它以我所希望的方式工作","7.满意度:它很好","7.满意度:我感到我需要拥有它","7.满意度:使用起来令人愉快","8.场景比较:系统的整体可用性","8.场景比较:系统对于任务的有效性","8.场景比较:系统容易使用","8.场景比较:系统的使用方法容易学习","8.场景比较:对系统满意",
"42","24-Sep-2023 17:49:35","24-Sep-2023 17:53:13","218","中国","浙江省","杭州市","","223.104.160.166","Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.41(0x18002930) NetType/4G Language/zh_CN","","	202","B.第二轮（M-CAT）","5","2","5","4","5","1","5","2","5","1","7","7","7","7","7","7","7","5","7","7","7","6","6","6","7","7","7","7","7","7","7","7","7","7","6","6","7","6","6","7","D.图形设计下较好","C.两者相同","C.两者相同","C.两者相同","C.两者相同",
"41","24-Sep-2023 17:32:05","24-Sep-2023 17:34:14","129","中国","浙江省","杭州市","","223.104.160.166","Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.41(0x18002930) NetType/4G Language/zh_CN","","	202","A.第一轮（WIMP）","5","3","5","1","5","1","5","1","5","1","7","6","6","7","7","7","7","6","7","7","6","7","7","7","5","6","6","6","6","7","6","7","6","7","7","6","6","6","6","6","A.日常操作下更好","C.两者相同","A.日常操作下更好","C.两者相同","C.两者相同",
"40","21-Sep-2023 13:03:05","21-Sep-2023 13:05:45","160","中国","浙江省","杭州市","","","Mozilla/5.0 (Linux; Android 12; NOH-AN00 Build/HUAWEINOH-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 XWEB/5279 MMWEBSDK/20230805 MMWEBID/426 MicroMessenger/8.0.41.2441(0x28002950) WeChat/arm","","	206","B.第二轮（M-CAT）","5","4","5","5","5","4","5","4","5","3","6","7","7","5","7","7","7","5","6","7","6","7","6","7","6","6","6","4","6","7","6","7","5","7","7","7","6","7","7","7","D.图形设计下较好","D.图形设计下较好","C.两者相同","C.两者相同","D.图形设计下较好",
"39","21-Sep-2023 12:47:15","21-Sep-2023 12:50:50","215","中国","浙江省","杭州市","","","Mozilla/5.0 (Linux; Android 12; NOH-AN00 Build/HUAWEINOH-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 XWEB/5279 MMWEBSDK/20230805 MMWEBID/426 MicroMessenger/8.0.41.2441(0x28002950) WeChat/arm","","	206","A.第一轮（WIMP）","4","3","4","3","3","2","3","2","3","4","6","5","6","6","5","6","5","5","5","6","5","6","6","5","5","5","4","6","5","5","6","5","4","5","4","5","5","6","4","5","D.图形设计下较好","D.图形设计下较好","C.两者相同","D.图形设计下较好","D.图形设计下较好",
"38","18-Sep-2023 16:18:05","18-Sep-2023 16:20:01","116","中国","浙江省","杭州市","","","Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.41(0x1800292e) NetType/4G Language/zh_CN","","	205","B.第二轮（M-CAT）","4","4","5","5","4","4","5","1","5","1","7","6","7","6","6","6","6","6","7","7","7","7","7","7","7","6","6","7","5","7","7","7","7","7","7","7","7","7","7","7","E.图形设计下更好","E.图形设计下更好","E.图形设计下更好","E.图形设计下更好","E.图形设计下更好",
"37","18-Sep-2023 16:04:17","18-Sep-2023 16:08:17","240","中国","浙江省","杭州市","","","Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.41(0x1800292e) NetType/4G Language/zh_CN","","	205","A.第一轮（WIMP）","5","2","5","3","3","1","4","1","5","1","4","4","5","5","5","5","5","5","6","6","6","5","5","6","7","4","5","6","4","7","7","7","7","6","6","2","5","6","6","4","E.图形设计下更好","E.图形设计下更好","E.图形设计下更好","E.图形设计下更好","E.图形设计下更好",
"36","18-Sep-2023 11:42:20","18-Sep-2023 11:46:18","238","中国","浙江省","杭州市","","","Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.39(0x18002733) NetType/4G Language/zh_CN","","	204","B.第二轮（M-CAT）","5","1","5","1","4","1","5","2","5","1","6","6","6","6","7","7","7","6","6","6","6","7","7","7","6","6","6","6","6","6","6","7","6","6","7","7","7","7","7","7","C.两者相同","E.图形设计下更好","C.两者相同","C.两者相同","C.两者相同",
"35","18-Sep-2023 11:25:55","18-Sep-2023 11:30:13","258","中国","浙江省","杭州市","","","Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.39(0x18002733) NetType/4G Language/zh_CN","","	204","A.第一轮（WIMP）","4","3","3","2","2","2","2","3","3","4","4","5","6","6","6","5","5","5","6","5","5","6","7","5","4","4","5","6","5","5","5","5","6","6","6","6","6","6","7","5","D.图形设计下较好","D.图形设计下较好","C.两者相同","D.图形设计下较好","D.图形设计下较好",
"34","17-Sep-2023 15:27:13","17-Sep-2023 15:32:06","293","中国","浙江省","宁波市","","","Mozilla/5.0 (Linux; Android 12; EBG-AN10 Build/HUAWEIEBG-AN10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5247 MMWEBSDK/20220805 MMWEBID/2273 MicroMessenger/8.0.27.2220(0x28001B59) WeChat/ar","","	203","B.第二轮（M-CAT）","4","3","4","2","3","1","5","2","4","2","7","6","6","7","7","7","6","7","7","7","5","6","6","7","7","5","7","4","6","7","7","6","6","7","7","6","6","6","7","7","B.日常操作下较好","C.两者相同","C.两者相同","C.两者相同","C.两者相同",
"33","17-Sep-2023 14:52:50","17-Sep-2023 15:07:09","859","中国","浙江省","宁波市","","","Mozilla/5.0 (Linux; Android 12; EBG-AN10 Build/HUAWEIEBG-AN10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5247 MMWEBSDK/20220805 MMWEBID/2273 MicroMessenger/8.0.27.2220(0x28001B59) WeChat/ar","","	203","A.第一轮（WIMP）","5","3","4","3","4","2","4","1","4","2","7","6","6","5","5","5","6","3","6","5","6","6","6","5","5","3","6","7","3","6","6","6","5","6","7","5","6","6","6","6","C.两者相同","D.图形设计下较好","E.图形设计下更好","E.图形设计下更好","D.图形设计下较好",
