subject_id,task_round,sus,effect,easy,easy_learn,satisfaction
13,1,87.5,47.6,67.2,24.6,48
13,0,47.5,36.4,37.2,13.0,28
15,1,80.0,54.6,64.8,26.6,48
15,0,55.0,42.8,47.0,19.0,34
16,1,72.5,45.8,58.4,26.6,49
16,0,72.5,45.8,57.4,22.8,41
14,1,75.0,54.6,67.2,26.6,49
14,0,30.0,36.2,28.8,11.4,20
12,1,85.0,50.8,61.2,24.6,46
12,0,87.5,47.8,60.2,22.8,42
3,1,70.0,44.0,58.8,26.6,43
3,0,40.0,30.2,40.2,17.0,23
2,1,80.0,47.6,60.8,26.6,49
2,0,47.5,38.0,34.4,16.2,24
4,1,70.0,44.0,57.0,25.6,45
4,0,42.5,26.2,22.0,12.4,18
10,1,90.0,54.6,67.2,26.6,49
10,0,40.0,31.2,35.0,13.2,28
7,0,47.5,22.6,36.8,13.6,20
7,1,82.5,53.6,67.2,26.6,49
5,1,60.0,52.6,56.6,24.6,48
5,0,37.5,32.4,33.2,13.4,26
11,1,82.5,48.0,65.6,26.6,46
11,0,65.0,42.0,47.0,19.8,38
6,1,85.0,54.6,67.2,26.6,48
6,0,20.0,20.6,28.8,8.6,23
8,1,62.5,46.0,54.8,23.0,42
8,0,62.5,42.8,50.6,23.6,42
9,1,65.0,43.8,51.0,21.0,40
9,0,50.0,32.8,35.8,15.0,30
