subject_id,task_round,mouse_distance,mouse_click,keyboard_press,duration,cost
2,0,137703,350,395,761.563,258.646
2,1,16718,8,1092,341.584,236.761
3,0,193067,385,430,852.177,327.301
3,1,16922,20,785,397.007,176.775
4,0,269443,470,382,1143.378,406.428
4,1,22396,15,1002,520.827,225.425
5,0,211825,306,279,620.905,308.905
5,1,20161,13,1097,493.094,241.878
6,0,141496,269,381,786.336,251.73
6,1,14137,8,1312,609.363,278.05
7,0,213348,362,580,941.177,376.305
7,1,43405,25,1333,573.731,314.693
8,0,113615,228,411,534.535,224.343
8,1,9394,5,840,319.289,178.368
9,0,98043,277,385,665.4,207.686
9,1,17619,13,968,376.677,213.407
10,0,125767,228,237,474.63,202.308
10,1,25313,8,1033,370.516,233.989
11,0,167411,315,431,728.996,293.552
11,1,11575,10,753,259.809,163.759
12,0,174226,310,269,703.846,267.811
12,1,17565,8,835,312.99,186.251
13,0,130686,325,240,745.392,217.775
13,1,8151,5,1076,384.912,224.262
14,0,126026,346,295,801.641,225.98
14,1,3804,2,813,403.451,166.796
15,0,206694,442,549,1021.975,371.116
15,1,19539,11,848,455.093,191.224
16,0,113824,282,334,669.418,214.563
16,1,18697,26,1643,607.628,350.84
201,0,209811,327,312,1058.538,315.49
201,1,21804,17,1288,623.159,282.203
202,0,255457,508,47,1139.065,328.537
202,1,18727,14,28,361.686,26.671
203,0,268953,357,403,813.641,398.814
203,1,53879,59,2372,794.629,536.896
204,0,142865,305,263,740.202,233.168
204,1,39139,37,1158,507.725,276.412
205,0,154851,304,360,897.746,265.059
205,1,18335,13,917,396.456,203.959
206,0,223589,400,295,1115.295,333.862
206,1,6088,6,485,253.813,103.995
